,,,Mahout,,,,,vMahout,,,
Data Group Name,Type,,Weight (%),First Oracle,Second Oracle,Third Oracle,,vMahout,First Oracle,Second Oracle,Third Oracle
Root,Consensus,,8%,0.0640,0.0120,0.0040,,0.05,0.0167,0.0167,0.0167
County,Consensus,,60%,0.4800,0.0900,0.0300,,0.05,0.0167,0.0167,0.0167
Photo Metadata,Reputation,,15%,0.1500,0.0000,0.0000,,0.05,0.0500,0.0000,0.0000
HOA,Reputation,,1%,0.0100,0.0000,0.0000,,0.05,0.0500,0.0000,0.0000
Mortgage,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Property Ranking,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Property Improvement,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Environment Characteristics,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Safety and Security,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Transportation and Access,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
School,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Group_12,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Group_13,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Group_14,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Group_15,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Group_16,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Group_17,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Group_18,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Group_19,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
Group_20,Consensus,,1%,0.0080,0.0015,0.0005,,0.05,0.0167,0.0167,0.0167
,,,,,,,,,,,
Total,,,100%,0.8320,0.1260,0.0420,,1.00,0.4000,0.3000,0.3000
,,,,,,,,,,,
Check,,,TRUE,TRUE,,,,TRUE,TRUE,,