,,Centralized,,,,,,,,,Decentralized,,,,,,,,,,,,
,Annual Txns,Data,Tech,Net Commission,Excess Interest,"Per Txn Total, $","National, $bn","National, %",,Annual Txns,Data,Tech,Net Commission,Excess Interest,Total,"National, $bn","Savings %, Per Txn","Savings %, National",,Oracle,AI Agent,L2,DUNA
Buyer Agent,"4,400,000","2,500","1,270","6,860",0,"10,630",46.8,19.9%,,"4,400,000",650,100,"1,150",0,"1,900",8.4,82%,82%,,280,50,100,220
Seller Agent,"4,450,000","2,500","1,250","7,539",0,"11,289",50.2,21.4%,,"4,450,000",650,100,"1,150",0,"1,900",8.5,83%,83%,,280,50,100,220
Mortgage Broker,"1,650,000","2,500",500,708,"9,421","13,129",21.7,9.2%,,"1,650,000",250,100,270,0,620,1.0,95%,95%,,0,150,50,50
Lender,"3,300,000",400,300,"6,716","18,708","26,124",86.2,36.7%,,"3,300,000",300,200,525,0,"1,025",3.4,96%,96%,,0,200,50,50
Appraiser,"5,000,000",0,100,500,0,600,3.0,1.3%,,"5,000,000",50,50,150,0,250,1.3,58%,58%,,0,30,10,10
Inspector,"5,000,000",0,100,400,0,500,2.5,1.1%,,"5,000,000",50,50,150,0,250,1.3,50%,50%,,0,30,10,10
Title Agent,"5,000,000",200,150,650,0,"1,000",5.0,2.1%,,"5,000,000",50,50,150,0,250,1.3,75%,75%,,0,30,10,10
Escrow,"5,000,000",100,150,750,0,"1,000",5.0,2.1%,,"5,000,000",0,50,150,0,200,1.0,80%,80%,,0,0,0,0
Title Insurance,"5,000,000",400,0,"2,484",0,"2,884",14.4,6.1%,,"5,000,000",50,0,0,0,50,0.3,98%,98%,,0,30,10,10
App System,0,0,0,0,0,0,0.0,0.0%,,"5,000,000",350,150,200,0,700,3.5,,,,0,200,75,75
"Per Txn, Total, $",,"8,600","3,820","26,606","28,128","67,155",234.8,,,,"2,400",850,"3,895",0,"7,145",29.7,89%,87%,,560,770,415,655
"Per Txn Total, %",,13%,6%,40%,42%,100%,,,,Savings,72%,78%,85%,100%,89%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"National, $bn",,31.1,15.5,111.0,77.3,234.8,TRUE,,,,9.9,3.5,16.4,0.0,29.7,TRUE,,,,2.5,3.0,1.7,2.8
,,13%,7%,47%,33%,,,,,Savings,21.2,12.0,94.6,77.3,205.1,,,,,,,,